ARRIVEE: Etage 0, No. 1, Temps: 77
DEPART : Etage 0, No. 1, Temps: 78
DEPART : Etage 2, No. 0, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 0, No. 1, Temps: 78
PORTES : Etage 1, No. 2, Temps: 78
DEPART : Etage 2, No. 0, Temps: 79
PORTES : Etage 0, No. 1, Temps: 79
PORTES : Etage 1, No. 0, Temps: 79
DEPART : Etage 1, No. 0, Temps: 79
PORTES : Etage 0, No. 1, Temps: 79
ARRIVEE: Etage 1, No. 1, Temps: 79
ARRIVEE: Etage 1, No. 1, Temps: 79
ARRIVEE: Etage 1, No. 1, Temps: 79
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
DEPART : Etage 0, No. 1, Temps: 80
PORTES : Etage 1, No. 0, Temps: 80
PORTES : Etage 0, No. 1, Temps: 80
ARRIVEE: Etage 0, No. 1, Temps: 80
ARRIVEE: Etage 0, No. 0, Temps: 80
DEPART : Etage 0, No. 1, Temps: 81
DEPART : Etage 1, No. 2, Temps: 81
DEPART : Etage 1, No. 2, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 1, No. 0, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
PORTES : Etage 0, No. 1, Temps: 81
ARRIVEE: Etage 0, No. 0, Temps: 81
ARRIVEE: Etage 0, No. 0, Temps: 81
ARRIVEE: Etage 2, No. 1, Temps: 81
ARRIVEE: Etage 2, No. 1, Temps: 81
ARRIVEE: Etage 2, No. 1, Temps: 81
DEPART : Etage 1, No. 2, Temps: 82
PORTES : Etage 0, No. 1, Temps: 82
PORTES : Etage 0, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 2, No. 1, Temps: 82
ARRIVEE: Etage 1, No. 1, Temps: 82
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 0, No. 1, Temps: 83
DEPART : Etage 1, No. 2, Temps: 83
ARRIVEE: Etage 1, No. 1, Temps: 83
ARRIVEE: Etage 0, No. 2, Temps: 83
ARRIVEE: Etage 0, No. 2, Temps: 83
DEPART : Etage 0, No. 1, Temps: 84
DEPART : Etage 1, No. 0, Temps: 84
DEPART : Etage 0, No. 1, Temps: 84
ARRIVEE: Etage 0, No. 2, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 3, No. 1, Temps: 84
ARRIVEE: Etage 2, No. 1, Temps: 84
DEPART : Etage 1, No. 0, Temps: 85
DEPART : Etage 1, No. 1, Temps: 85
PORTES : Etage 0, No. 0, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
ARRIVEE: Etage 0, No. 2, Temps: 85
ARRIVEE: Etage 2, No. 1, Temps: 85
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 0, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
DEPART : Etage 0, No. 1, Temps: 86
PORTES : Etage 0, No. 0, Temps: 86
PORTES : Etage 0, No. 0, Temps: 86
PORTES : Etage 2, No. 1, Temps: 86
PORTES : Etage 2, No. 1, Temps: 86
PORTES : Etage 2, No. 1, Temps: 86
ARRIVEE: Etage 2, No. 1, Temps: 86
ARRIVEE: Etage 0, No. 0, Temps: 86
ARRIVEE: Etage 2, No. 1, Temps: 86
ARRIVEE: Etage 3, No. 1, Temps: 86
BOUTON : Etage 1, No. 9, Temps: 87
DEPART : Etage 2, No. 1, Temps: 87
DEPART : Etage 2, No. 1, Temps: 87
ARRIVEE: Etage 0, No. 0, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
ARRIVEE: Etage 3, No. 1, Temps: 87
PORTES : Etage 0, No. 2, Temps: 88
PORTES : Etage 0, No. 2, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 0, No. 0, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
ARRIVEE: Etage 3, No. 1, Temps: 88
PORTES : Etage 0, No. 2, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
